Date,log_return_EEM,log_return_HYG,log_return_LQD,log_return_SPX,log_return_MERVAL,log_return_VIX,log_return_EURUSD,log_return_GBPUSD,log_return_USDJPY,yield_change_UST_2Y,yield_change_UST_10Y,realized_vol_EEM_21d,realized_vol_EEM_63d,realized_vol_EEM_250d,realized_vol_HYG_21d,realized_vol_HYG_63d,realized_vol_HYG_250d,realized_vol_SPX_21d,realized_vol_SPX_63d,realized_vol_SPX_250d,vix_level,vix_change,vol_risk_premium,corr_spx_hyg_63d,corr_spx_eurusd_63d,spx_drawdown,spx_momentum_63d,spx_momentum_21d,crisis_flag,macro_FED_FUNDS,macro_FED_FUNDS_change,macro_HY_SPREAD,macro_HY_SPREAD_change,macro_IG_SPREAD,macro_IG_SPREAD_change,day_of_week,month,quarter,is_month_end,is_quarter_end
2008-03-31,0.0058963871482383,0.0044580362430949455,0.002664788329654789,0.00567113539282709,0.006676228898743892,-0.003897061624039463,-0.00018910765675342382,-0.0053716974327254864,0.007337779549560482,-0.07500004768371582,-0.03400015830993652,0.49115793482621284,0.3884175704072444,0.3535176402252309,0.07859196784496736,0.08123467064278539,0.08696982691990071,0.2957418735995664,0.24045535988599545,0.1912155521392428,25.610000610351562,-0.09999847412109375,-3.9641867496050764,0.40839111571187703,-0.1810354168738164,-0.15490532502336463,-0.09919913075322118,-0.03288788369547224,0,6.36024343469222,-0.05428759260552152,3.922665049534855,0.08430301546380026,2.0925824782327473,0.027184261655643027,0,3,1,1,1
2008-09-26,-0.03459945331512125,-0.003474418873356774,-0.027399438632020517,0.003376721569391682,-0.009411834182346595,0.05685373276458912,-0.0029387224335763865,-5.51885960290913e-05,-0.002542701747353049,0.12000000476837158,-0.03500008583068848,0.793650191697878,0.5089337337174661,0.4040451603915118,0.396148162864001,0.2340980812849382,0.13813847086293335,0.40871463566079574,0.2930334903473425,0.23084639540131804,34.7400016784668,1.9200019836425781,-6.1314618876127795,0.47020559477734036,-0.03924263864398221,-0.22482190166693072,-0.0557548876907743,-0.06720333254154254,1,6.466545663537543,0.029279487936017645,4.131666733906395,0.11096594178412111,1.9503679428380636,-0.03993192101824805,4,9,3,0,0
2008-09-29,-0.12419508649808553,-0.08444106047448723,-0.09553277198121612,-0.09218959234553593,-0.09024031101880127,0.2962805555199707,-0.014191183822729327,-0.021537152271925028,-0.02103054431288208,-0.3799999952316284,-0.19499993324279785,0.8933743805896478,0.5613035346329326,0.4224100589678389,0.48575881534020027,0.2874529895599905,0.16182848415261078,0.5113709767425902,0.34371911513477393,0.24833187121784103,46.720001220703125,11.979999542236328,-4.417096453555899,0.6358407932923087,0.03649686633514175,-0.29309010210729314,-0.12294689991805985,-0.13751620881376936,1,6.44550757385349,0.00752774486014296,4.10280271803068,0.08005109711205538,1.951977697813935,-0.042837640954771494,0,9,3,0,0
2008-09-30,0.07787457035780718,0.0344897671131625,0.09319686537459433,0.052758158003824995,0.03308189717885271,-0.1706604031603096,-0.020838726747097962,-0.010605982840815507,0.021219085165858877,0.44999998807907104,0.19499993324279785,0.9449901952541203,0.5852375145928734,0.42988361949967674,0.5062874890067863,0.29673853220134544,0.1656508300026281,0.5516043299147702,0.36076804750649905,0.2541788730372744,39.38999938964844,-7.3300018310546875,-15.770433601828579,0.6622362069457853,-0.01633751560904228,-0.2535152628714583,-0.0764431365873881,-0.09079143354379215,1,6.3152968810221335,-0.07498597700138099,4.115566458007651,0.1265604186818492,1.9670547748070688,-0.030425780461419638,1,9,3,1,1
2008-10-01,0.011927402021642945,0.04261654808256315,0.009186985848515274,-0.004554344139591543,0.004993768180486974,0.010606210020631964,-0.005706855754467501,-0.006837589417655926,-0.001226331478702809,-0.09999996423721313,-0.05900001525878906,0.9433820209396403,0.5860267035719717,0.4296422381817925,0.5327892445651579,0.3097465623260052,0.17125242027410478,0.551602096979986,0.360818264623741,0.2541321612055328,39.810001373291016,0.4200019836425781,-15.35020832470758,0.6290480383620285,-0.015861203632116485,-0.2565885373963618,-0.08063976866859457,-0.09120360483798151,1,6.325244288361959,-0.044686754015216934,4.1504526803025135,0.14482241891271652,1.9629680513500083,-0.03192291557080518,2,10,4,0,0
2008-10-02,-0.0917018178985231,-0.026390801390290954,-0.014627763954088996,-0.04112494871855385,-0.054378602247414115,0.1283054316120401,-0.014968789940075682,-0.0030750338371589294,-0.006914575043267088,-0.21000003814697266,-0.12199997901916504,0.9892404626759173,0.6120164512363192,0.43893429338166806,0.5380312132165138,0.31380470689720164,0.17312660302751903,0.565791487815672,0.36925866926015943,0.25717746310460543,45.2599983215332,5.4499969482421875,-11.319150460033995,0.6419798875807564,0.010264102640619593,-0.28654117399153656,-0.11022033109905094,-0.1260411564366628,1,6.347081215948634,-0.05716574927637641,4.163724637673728,0.1406632569581685,1.9688707544607615,-0.01040142674280764,3,10,4,0,0
2008-10-03,-0.026659906291268496,-0.003636298507403728,-0.00045030097744648925,-0.013598565792345264,-0.005273578470936926,-0.0026548452523095906,-0.0016694470894127007,0.004243851580354005,0.0008551040031928068,-0.1199999749660492,-0.0019998550415039062,0.9818216006263483,0.6125440479179001,0.43931416249113286,0.5370415640346795,0.31382434651325936,0.17312332482838835,0.5597907194427821,0.3679911392404533,0.25741894585759934,45.13999938964844,-0.11999893188476562,-10.839072554629773,0.645738455834339,0.03207935526590406,-0.29053558390803524,-0.13697886267688308,-0.11125213689427604,1,6.367295953696719,-0.04224573418405253,4.167820595219367,0.1382158034462515,1.9678480909585856,-0.006744853021650954,4,10,4,0,0
2008-10-06,-0.07817259999502013,-0.036989428148092536,-0.011658887439310471,-0.03927926970654148,-0.06132711569850353,0.14243602253507148,-0.020520458544919223,-0.0164499707241425,-0.033017824969220406,-0.06000000238418579,-0.21799993515014648,1.00717659361844,0.6289378924950627,0.4452073011878931,0.5478899861930365,0.321709243313216,0.17653993649013708,0.5702882657938624,0.37310216181100975,0.2602004929499494,52.04999923706055,6.909999847412109,-4.978827342325694,0.6639776818784651,0.09462590592336648,-0.31786262161788037,-0.15088089050164277,-0.14925424024595058,1,6.429085063287827,-0.009677273616569337,4.176003413674887,0.16882130215693003,1.9549542700675517,-0.00817317227561043,0,10,4,0,0
2008-10-07,-0.08098152047011281,-0.017030990206153004,0.01850069604446193,-0.05910779118196403,-0.02706717946841347,0.030835717945359827,0.006136527503310467,0.0013779810977840403,-0.00413100003725059,0.3750000298023224,0.07999992370605469,1.0297608562868195,0.6443026098383743,0.4520806069744417,0.5485728842297913,0.3230070285670094,0.17729602987843673,0.5872555974490336,0.3892714807423318,0.26654740987495185,53.68000030517578,1.6300010681152344,-5.045559439727576,0.6594326076754898,0.06512535182415005,-0.3570137878834315,-0.20517159956138487,-0.2141995521549941,1,6.375532379305374,-0.16205198682479605,4.204300226931398,0.16951533663607066,1.9623023835026558,0.005846536660156998,1,10,4,0,0
2008-10-08,0.0,-0.04268789064643357,-0.007179269736176402,-0.011397406925517297,-0.01895100447029521,0.06926603130813377,0.09599245337352873,-0.010366778032668139,0.0816335567026103,-0.14500004053115845,0.2089998722076416,1.0203332498694893,0.6444960820600356,0.4501960064501272,0.560376779319169,0.3328906343723044,0.1821809447707897,0.5811436673918379,0.38929103388054775,0.26560868512404834,57.529998779296875,3.8499984741210938,-0.5843679598869116,0.649873093356439,0.02492413877662497,-0.36430055936090233,-0.20536671518003624,-0.19564560960189548,1,6.409543184577897,-0.04982910096672022,4.1868162415311145,0.11128713844142002,1.9513554630623822,-0.00543261616528623,2,10,4,0,0
