Date,log_return_EEM,log_return_HYG,log_return_LQD,log_return_SPX,log_return_MERVAL,log_return_VIX,log_return_EURUSD,log_return_GBPUSD,log_return_USDJPY,yield_change_UST_2Y,yield_change_UST_10Y,realized_vol_EEM_21d,realized_vol_EEM_63d,realized_vol_EEM_250d,realized_vol_HYG_21d,realized_vol_HYG_63d,realized_vol_HYG_250d,realized_vol_SPX_21d,realized_vol_SPX_63d,realized_vol_SPX_250d,vix_level,vix_change,vol_risk_premium,corr_spx_hyg_63d,corr_spx_eurusd_63d,spx_drawdown,spx_momentum_63d,spx_momentum_21d,crisis_flag,macro_FED_FUNDS,macro_FED_FUNDS_change,macro_HY_SPREAD,macro_HY_SPREAD_change,macro_IG_SPREAD,macro_IG_SPREAD_change,day_of_week,month,quarter,is_month_end,is_quarter_end,sentiment_mean,sentiment_std,sentiment_extreme_neg,sentiment_mean_lag1,sentiment_extreme_neg_lag1,sentiment_mean_lag5,sentiment_extreme_neg_lag5,sentiment_ma5,sentiment_ma21,sentiment_ma63,sentiment_shock
2008-03-31,0.0058963871482383,0.0044580362430949,0.0026647883296547,0.005671135392827,0.0066762288987438,-0.0038970616240394,-0.0001891076567534,-0.0053716974327254,0.0073377795495604,-0.0750000476837158,-0.0340001583099365,0.4911579348262128,0.3884175704072444,0.3535176402252309,0.0785919678449673,0.0812346706427853,0.0869698269199007,0.2957418735995664,0.2404553598859954,0.1912155521392428,25.61000061035156,-0.0999984741210937,-3.964186749605077,0.408391115711877,-0.1810354168738164,-0.1549053250233646,-0.0991991307532211,-0.0328878836954722,0,6.36024343469222,-0.0542875926055215,3.922665049534855,0.0843030154638002,2.092582478232748,0.027184261655643,0,3,1,1,1,,,,,,,,,,,False
2008-09-26,-0.0345994533151212,-0.0034744188733567,-0.0273994386320205,0.0033767215693916,-0.0094118341823465,0.0568537327645891,-0.0029387224335763,-5.51885960290913e-05,-0.002542701747353,0.1200000047683715,-0.0350000858306884,0.793650191697878,0.5089337337174661,0.4040451603915118,0.396148162864001,0.2340980812849382,0.1381384708629333,0.4087146356607957,0.2930334903473425,0.230846395401318,34.7400016784668,1.920001983642578,-6.13146188761278,0.4702055947773403,-0.0392426386439822,-0.2248219016669307,-0.0557548876907743,-0.0672033325415425,1,6.466545663537543,0.0292794879360176,4.131666733906395,0.1109659417841211,1.950367942838064,-0.039931921018248,4,9,3,0,0,,,,,,,,,,,False
2008-09-29,-0.1241950864980855,-0.0844410604744872,-0.0955327719812161,-0.0921895923455359,-0.0902403110188012,0.2962805555199707,-0.0141911838227293,-0.021537152271925,-0.021030544312882,-0.3799999952316284,-0.1949999332427978,0.8933743805896478,0.5613035346329326,0.4224100589678389,0.4857588153402002,0.2874529895599905,0.1618284841526107,0.5113709767425902,0.3437191151347739,0.248331871217841,46.720001220703125,11.979999542236328,-4.417096453555899,0.6358407932923087,0.0364968663351417,-0.2930901021072931,-0.1229468999180598,-0.1375162088137693,1,6.44550757385349,0.0075277448601429,4.10280271803068,0.0800510971120553,1.951977697813935,-0.0428376409547714,0,9,3,0,0,,,,,,,,,,,False
2008-09-30,0.0778745703578071,0.0344897671131625,0.0931968653745943,0.0527581580038249,0.0330818971788527,-0.1706604031603096,-0.0208387267470979,-0.0106059828408155,0.0212190851658588,0.449999988079071,0.1949999332427978,0.9449901952541204,0.5852375145928734,0.4298836194996767,0.5062874890067863,0.2967385322013454,0.1656508300026281,0.5516043299147702,0.360768047506499,0.2541788730372744,39.38999938964844,-7.330001831054687,-15.77043360182858,0.6622362069457853,-0.0163375156090422,-0.2535152628714583,-0.0764431365873881,-0.0907914335437921,1,6.3152968810221335,-0.0749859770013809,4.115566458007651,0.1265604186818492,1.9670547748070688,-0.0304257804614196,1,9,3,1,1,,,,,,,,,,,False
2008-10-01,0.0119274020216429,0.0426165480825631,0.0091869858485152,-0.0045543441395915,0.0049937681804869,0.0106062100206319,-0.0057068557544675,-0.0068375894176559,-0.0012263314787028,-0.0999999642372131,-0.059000015258789,0.9433820209396404,0.5860267035719717,0.4296422381817925,0.5327892445651579,0.3097465623260052,0.1712524202741047,0.551602096979986,0.360818264623741,0.2541321612055328,39.810001373291016,0.4200019836425781,-15.35020832470758,0.6290480383620285,-0.0158612036321164,-0.2565885373963618,-0.0806397686685945,-0.0912036048379815,1,6.325244288361959,-0.0446867540152169,4.1504526803025135,0.1448224189127165,1.9629680513500083,-0.0319229155708051,2,10,4,0,0,,,,,,,,,,,False
2008-10-02,-0.0917018178985231,-0.0263908013902909,-0.0146277639540889,-0.0411249487185538,-0.0543786022474141,0.1283054316120401,-0.0149687899400756,-0.0030750338371589,-0.006914575043267,-0.2100000381469726,-0.121999979019165,0.9892404626759173,0.6120164512363192,0.438934293381668,0.5380312132165138,0.3138047068972016,0.173126603027519,0.565791487815672,0.3692586692601594,0.2571774631046054,45.2599983215332,5.449996948242188,-11.319150460033995,0.6419798875807564,0.0102641026406195,-0.2865411739915365,-0.1102203310990509,-0.1260411564366628,1,6.347081215948634,-0.0571657492763764,4.163724637673728,0.1406632569581685,1.968870754460761,-0.0104014267428076,3,10,4,0,0,,,,,,,,,,,False
2008-10-03,-0.0266599062912684,-0.0036362985074037,-0.0004503009774464,-0.0135985657923452,-0.0052735784709369,-0.0026548452523095,-0.0016694470894127,0.004243851580354,0.0008551040031928,-0.1199999749660492,-0.0019998550415039,0.9818216006263484,0.6125440479179001,0.4393141624911328,0.5370415640346795,0.3138243465132593,0.1731233248283883,0.5597907194427821,0.3679911392404533,0.2574189458575993,45.13999938964844,-0.1199989318847656,-10.839072554629771,0.645738455834339,0.032079355265904,-0.2905355839080352,-0.136978862676883,-0.111252136894276,1,6.367295953696719,-0.0422457341840525,4.167820595219367,0.1382158034462515,1.9678480909585856,-0.0067448530216509,4,10,4,0,0,,,,,,,,,,,False
2008-10-06,-0.0781725999950201,-0.0369894281480925,-0.0116588874393104,-0.0392792697065414,-0.0613271156985035,0.1424360225350714,-0.0205204585449192,-0.0164499707241425,-0.0330178249692204,-0.0600000023841857,-0.2179999351501464,1.00717659361844,0.6289378924950627,0.4452073011878931,0.5478899861930365,0.321709243313216,0.176539936490137,0.5702882657938624,0.3731021618110097,0.2602004929499494,52.04999923706055,6.909999847412109,-4.978827342325694,0.6639776818784651,0.0946259059233664,-0.3178626216178803,-0.1508808905016427,-0.1492542402459505,1,6.429085063287827,-0.0096772736165693,4.176003413674887,0.16882130215693,1.954954270067552,-0.0081731722756104,0,10,4,0,0,,,,,,,,,,,False
2008-10-07,-0.0809815204701128,-0.017030990206153,0.0185006960444619,-0.059107791181964,-0.0270671794684134,0.0308357179453598,0.0061365275033104,0.001377981097784,-0.0041310000372505,0.3750000298023224,0.0799999237060546,1.0297608562868197,0.6443026098383743,0.4520806069744417,0.5485728842297913,0.3230070285670094,0.1772960298784367,0.5872555974490336,0.3892714807423318,0.2665474098749518,53.68000030517578,1.6300010681152344,-5.045559439727576,0.6594326076754898,0.06512535182415,-0.3570137878834315,-0.2051715995613848,-0.2141995521549941,1,6.375532379305374,-0.162051986824796,4.204300226931398,0.1695153366360706,1.962302383502656,0.0058465366601569,1,10,4,0,0,,,,,,,,,,,False
2008-10-08,0.0,-0.0426878906464335,-0.0071792697361764,-0.0113974069255172,-0.0189510044702952,0.0692660313081337,0.0959924533735287,-0.0103667780326681,0.0816335567026103,-0.1450000405311584,0.2089998722076416,1.0203332498694893,0.6444960820600356,0.4501960064501272,0.560376779319169,0.3328906343723044,0.1821809447707897,0.5811436673918379,0.3892910338805477,0.2656086851240483,57.52999877929688,3.8499984741210938,-0.5843679598869116,0.649873093356439,0.0249241387766249,-0.3643005593609023,-0.2053667151800362,-0.1956456096018954,1,6.409543184577897,-0.0498291009667202,4.1868162415311145,0.11128713844142,1.9513554630623824,-0.0054326161652862,2,10,4,0,0,,,,,,,,,,,False
